Game,Date,TEAM,OPP,Win,Points,WL (H),WL HOME (H),WL LAST 5 (H),WL LAST 8 (H),WL LAST 10 (H),PD (H),PD HOME (H),PD LAST 5 (H),PD LAST 8 (H),PD LAST 10 (H),WL (A),WL AWAY (A),WL LAST 5 (A),WL LAST 8 (A),WL LAST 10 (A),PD (A),PD AWAY (A),PD LAST 5 (A),PD LAST 8 (A),PD LAST 10 (A),Prev WL (H),Prev WL (A),Prev WL HOME (H),Prev WL AWAY (A),AST,TRB,FG%,3P%
28,2010-12-18,27,10,1,1,0.48148148148148145,0.7272727272727273,0.4,0.625,0.5,-0.6666666666666666,5.2727272727272725,-4.6,0.875,-0.1,0.36,0.21428571428571427,0.2,0.125,0.2,-6.0,-9.071428571428571,-9.6,-9.875,-7.4,0.6097560975609756,0.3170731707317073,0.6341463414634146,0.1951219512195122,-1.1451851851851877,-1.8459259259259255,-0.014878518518518569,-0.0606503703703703
29,2010-12-20,27,17,1,26,0.5,0.75,0.4,0.625,0.6,-0.6071428571428571,4.916666666666667,-5.8,-0.125,0.4,0.4,0.25,0.6,0.5,0.5,-1.56,-4.5,0.2,-1.125,-2.7,0.6097560975609756,0.5609756097560976,0.6341463414634146,0.43902439024390244,2.968571428571426,-2.488571428571433,0.024925714285714218,-0.0031771428571427673
33,2010-12-30,27,31,1,11,0.5,0.7692307692307693,0.6,0.5,0.5,-0.34375,6.538461538461538,1.4,-0.75,-1.6,0.6875,0.7333333333333333,0.8,0.625,0.6,3.25,1.8666666666666667,5.6,0.75,0.5,0.6097560975609756,0.6463414634146342,0.6341463414634146,0.5121951219512195,-2.59375,1.25,-0.024500000000000022,-0.0025624999999999676
34,2011-01-02,27,11,1,15,0.5151515151515151,0.7857142857142857,0.6,0.625,0.5,0.0,6.857142857142857,3.4,2.25,-1.2,0.5,0.35294117647058826,0.8,0.75,0.8,1.5625,-2.0,4.8,4.625,6.5,0.6097560975609756,0.5121951219512195,0.6341463414634146,0.4634146341463415,-2.9734848484848477,-2.0416666666666643,-0.018848484848484837,-0.047520833333333345
38,2011-01-09,27,16,0,-7,0.5405405405405406,0.8,0.8,0.625,0.7,0.6756756756756757,7.4,7.2,2.0,4.3,0.7631578947368421,0.7368421052631579,1.0,1.0,0.9,9.526315789473685,9.0,9.0,10.125,8.0,0.6097560975609756,0.573170731707317,0.6341463414634146,0.5609756097560976,1.5604551920341407,-2.5362731152204816,-0.031338549075391076,-0.04740682788051204
39,2011-01-11,27,22,0,-14,0.5263157894736842,0.75,0.6,0.625,0.6,0.47368421052631576,6.5,3.6,2.0,3.5,0.5833333333333334,0.5789473684210527,0.6,0.625,0.5,1.25,0.8421052631578947,2.6,3.375,-0.2,0.6097560975609756,0.35365853658536583,0.6341463414634146,0.2682926829268293,-0.18713450292397837,-0.6491228070175481,-0.02655701754385964,-0.035925438596491166
41,2011-01-15,27,19,1,7,0.5,0.7058823529411765,0.4,0.5,0.5,0.0,5.294117647058823,-2.4,1.375,-0.2,0.2564102564102564,0.13636363636363635,0.2,0.125,0.1,-6.769230769230769,-8.681818181818182,-12.4,-13.375,-13.7,0.6097560975609756,0.14634146341463414,0.6341463414634146,0.0975609756097561,2.6115384615384585,-0.5307692307692307,0.0017910256410256786,-0.003816025641025511
42,2011-01-17,27,18,1,11,0.5121951219512195,0.7222222222222222,0.4,0.5,0.5,0.17073170731707318,5.388888888888889,-1.6,0.875,0.0,0.24390243902439024,0.09523809523809523,0.2,0.25,0.3,-5.585365853658536,-11.571428571428571,-4.2,-1.5,-0.3,0.6097560975609756,0.18292682926829268,0.6341463414634146,0.12195121951219512,1.3414634146341449,-4.341463414634148,-0.0028292682926830404,-0.05629268292682932
44,2011-01-20,27,13,1,15,0.5348837209302325,0.7368421052631579,0.6,0.625,0.6,0.5116279069767442,5.684210526315789,0.8,1.25,2.2,0.3902439024390244,0.2,0.8,0.75,0.7,-1.951219512195122,-7.333333333333333,5.0,5.375,3.6,0.6097560975609756,0.35365853658536583,0.6341463414634146,0.1951219512195122,-1.2773681225184355,-2.8167895632444697,-0.020691435053885487,-0.008942144072603464
45,2011-01-22,27,12,1,5,0.5454545454545454,0.75,0.8,0.625,0.6,0.8409090909090909,6.15,6.6,2.75,2.2,0.41025641025641024,0.3157894736842105,0.4,0.25,0.3,-1.0769230769230769,-5.578947368421052,-0.2,-3.125,-3.0,0.6097560975609756,0.3902439024390244,0.6341463414634146,0.21951219512195122,0.5151515151515156,-2.9306526806526847,0.007961538461538409,-0.016359557109557
