Rk,G,Date,Home,Opp,W/L,Tm,Opp,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF,V25,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF,Team
59,59,2017-03-01,@,SAC,W,109,100,34,74,.459,11,28,.393,30,36,.833,10,43,16,8,2,18,25,,35,81,.432,11,22,.500,19,22,.864,10,38,12,8,3,15,28,BRK
60,60,2017-03-03,@,UTA,L,97,112,36,89,.404,7,30,.233,18,24,.750,9,42,12,6,3,12,24,,38,74,.514,12,26,.462,24,34,.706,5,45,25,7,5,13,25,BRK
61,61,2017-03-04,@,POR,L,116,130,45,86,.523,14,30,.467,12,17,.706,8,31,24,7,6,13,22,,49,86,.570,16,25,.640,16,22,.727,6,37,29,9,6,12,13,BRK
62,62,2017-03-06,@,MEM,W,122,109,39,73,.534,14,30,.467,30,38,.789,7,41,16,12,5,16,27,,34,77,.442,10,25,.400,31,39,.795,8,37,23,7,2,15,29,BRK
63,63,2017-03-08,@,ATL,L,105,110,37,80,.463,11,33,.333,20,25,.800,5,40,28,7,11,22,25,,41,95,.432,4,20,.200,24,32,.750,11,47,19,12,7,15,22,BRK
64,64,2017-03-10,@,DAL,L,96,105,34,78,.436,9,31,.290,19,23,.826,4,35,23,9,2,12,28,,33,78,.423,14,33,.424,25,28,.893,7,47,16,5,0,15,18,BRK
65,65,2017-03-12,,NYK,W,120,112,40,87,.460,19,38,.500,21,29,.724,13,55,23,7,3,12,23,,39,94,.415,8,23,.348,26,32,.813,11,43,22,5,8,9,20,BRK
66,66,2017-03-14,,OKC,L,104,122,33,71,.465,12,24,.500,26,30,.867,4,32,20,6,6,18,23,,44,89,.494,10,22,.455,24,34,.706,13,44,30,13,6,13,27,BRK
67,67,2017-03-16,@,NYK,W,121,110,41,86,.477,10,32,.313,29,35,.829,13,51,19,5,2,13,23,,41,88,.466,3,18,.167,25,26,.962,5,34,20,6,4,7,26,BRK
68,68,2017-03-17,,BOS,L,95,98,30,83,.361,11,35,.314,24,30,.800,6,41,23,7,7,10,25,,34,85,.400,7,29,.241,23,29,.793,8,51,20,7,6,12,23,BRK
69,69,2017-03-19,,DAL,L,104,111,31,72,.431,13,31,.419,29,38,.763,9,41,16,2,1,15,22,,41,76,.539,10,25,.400,19,25,.760,2,33,20,8,3,10,24,BRK
70,70,2017-03-21,,DET,W,98,96,38,88,.432,10,29,.345,12,19,.632,11,46,22,1,6,10,13,,40,92,.435,5,23,.217,11,16,.688,10,51,17,8,8,6,17,BRK
71,71,2017-03-23,,PHO,W,126,98,43,95,.453,8,29,.276,32,42,.762,17,61,25,11,5,17,26,,34,93,.366,7,25,.280,23,34,.676,15,50,16,14,3,19,30,BRK
72,72,2017-03-24,@,WAS,L,108,129,43,82,.524,3,15,.200,19,26,.731,6,38,24,5,4,14,22,,49,97,.505,10,26,.385,21,22,.955,11,46,29,9,5,10,19,BRK
73,73,2017-03-26,@,ATL,W,107,92,38,86,.442,6,22,.273,25,30,.833,12,50,21,13,7,17,25,,34,98,.347,5,27,.185,19,32,.594,26,58,16,10,3,20,19,BRK
74,74,2017-03-28,,PHI,L,101,106,38,94,.404,9,32,.281,16,24,.667,13,50,22,11,5,13,19,,39,91,.429,10,33,.303,18,21,.857,12,53,21,7,9,16,23,BRK
75,75,2017-03-30,@,DET,L,89,90,35,92,.380,10,31,.323,9,12,.750,8,46,17,4,4,12,16,,36,86,.419,7,18,.389,11,17,.647,11,53,20,6,7,16,11,BRK
76,76,2017-04-01,,ORL,W,121,111,50,94,.532,8,31,.258,13,16,.813,9,44,26,8,5,11,15,,45,91,.495,10,25,.400,11,15,.733,11,42,26,9,2,14,15,BRK
77,77,2017-04-02,,ATL,W,91,82,32,82,.390,10,33,.303,17,20,.850,8,51,21,11,6,19,22,,30,80,.375,7,24,.292,15,23,.652,8,44,19,9,4,19,19,BRK
78,78,2017-04-04,@,PHI,W,141,118,48,75,.640,16,31,.516,29,33,.879,1,36,36,9,5,17,18,,43,97,.443,12,38,.316,20,27,.741,14,36,32,7,4,11,22,BRK
79,79,2017-04-06,@,ORL,L,107,115,40,87,.460,11,30,.367,16,22,.727,7,39,21,7,6,14,19,,42,90,.467,9,25,.360,22,26,.846,9,48,24,9,6,13,20,BRK
80,80,2017-04-08,,CHI,W,107,106,39,92,.424,10,31,.323,19,24,.792,10,44,24,15,6,13,13,,40,90,.444,11,24,.458,15,17,.882,11,52,14,6,6,17,20,BRK
81,81,2017-04-10,@,BOS,L,105,114,31,86,.360,8,31,.258,35,39,.897,9,49,18,8,6,12,19,,41,91,.451,14,38,.368,18,21,.857,9,51,31,7,4,13,23,BRK
82,82,2017-04-12,@,CHI,L,73,112,28,86,.326,3,33,.091,14,18,.778,10,48,17,8,3,18,16,,41,95,.432,14,30,.467,16,21,.762,14,62,28,15,4,12,18,BRK
1,1,2016-10-26,,BRK,W,122,117,48,89,.539,11,32,.344,15,18,.833,12,47,36,13,9,19,20,,43,97,.443,15,44,.341,16,20,.800,15,44,22,8,3,16,19,BOS
2,2,2016-10-27,@,CHI,L,99,105,38,76,.500,8,23,.348,15,24,.625,3,36,22,6,6,11,25,,36,92,.391,11,25,.440,22,30,.733,18,55,25,5,1,12,21,BOS
3,3,2016-10-29,@,CHO,W,104,98,39,81,.481,15,31,.484,11,17,.647,4,42,25,4,6,13,26,,32,79,.405,9,32,.281,25,33,.758,6,38,22,8,6,8,17,BOS
4,4,2016-11-02,,CHI,W,107,100,41,87,.471,14,32,.438,11,17,.647,10,39,28,10,4,12,24,,35,81,.432,7,20,.350,23,31,.742,15,49,21,7,7,19,19,BOS
5,5,2016-11-03,@,CLE,L,122,128,46,96,.479,11,32,.344,19,22,.864,10,39,25,4,6,8,28,,41,84,.488,14,34,.412,32,37,.865,7,42,24,6,6,8,19,BOS
6,6,2016-11-06,,DEN,L,107,123,41,90,.456,8,25,.320,17,21,.810,11,39,31,3,4,11,24,,44,84,.524,11,23,.478,24,31,.774,9,47,21,7,6,17,23,BOS
7,7,2016-11-09,@,WAS,L,93,118,35,81,.432,10,31,.323,13,22,.591,7,31,21,5,4,11,19,,46,92,.500,10,21,.476,16,20,.800,19,54,29,9,7,11,26,BOS
8,8,2016-11-11,,NYK,W,115,87,35,90,.389,11,27,.407,34,43,.791,19,53,23,16,3,15,18,,33,94,.351,6,23,.261,15,17,.882,21,57,19,7,11,25,26,BOS
9,9,2016-11-12,@,IND,W,105,99,35,80,.438,8,25,.320,27,33,.818,15,47,22,7,7,13,21,,36,86,.419,6,27,.222,21,28,.750,11,40,17,9,9,13,22,BOS
10,10,2016-11-14,@,NOP,L,105,106,38,95,.400,12,41,.293,17,20,.850,11,44,19,9,0,10,27,,35,79,.443,6,21,.286,30,36,.833,8,46,16,9,4,16,17,BOS
11,11,2016-11-16,,DAL,W,90,83,33,76,.434,7,21,.333,17,23,.739,13,53,18,6,3,19,17,,34,83,.410,8,23,.348,7,10,.700,5,32,16,9,3,9,19,BOS
12,12,2016-11-18,,GSW,L,88,104,31,83,.373,11,32,.344,15,19,.789,7,43,19,6,3,13,12,,44,90,.489,9,28,.321,7,12,.583,9,50,33,10,7,11,20,BOS
13,13,2016-11-19,@,DET,W,94,92,33,82,.402,12,31,.387,16,17,.941,9,46,22,3,7,8,13,,37,86,.430,7,20,.350,11,16,.688,11,50,22,5,4,5,13,BOS
14,14,2016-11-21,@,MIN,W,99,93,38,84,.452,12,38,.316,11,14,.786,6,39,20,5,4,11,21,,36,86,.419,4,24,.167,17,25,.680,16,51,23,5,4,15,19,BOS
15,15,2016-11-23,@,BRK,W,111,92,45,98,.459,15,38,.395,6,8,.750,12,51,26,13,6,13,22,,34,86,.395,10,31,.323,14,22,.636,9,45,18,7,7,19,12,BOS
16,16,2016-11-25,,SAS,L,103,109,42,91,.462,12,34,.353,7,9,.778,8,36,32,8,4,10,21,,38,81,.469,11,24,.458,22,25,.880,13,45,24,4,8,16,12,BOS
17,17,2016-11-28,@,MIA,W,112,104,40,83,.482,11,27,.407,21,26,.808,6,40,26,4,3,9,27,,38,80,.475,6,30,.200,22,32,.688,7,41,24,6,2,13,25,BOS
18,18,2016-11-30,,DET,L,114,121,40,91,.440,15,42,.357,19,20,.950,9,33,26,6,3,5,17,,48,87,.552,9,20,.450,16,21,.762,13,52,28,4,8,11,19,BOS
19,19,2016-12-02,,SAC,W,97,92,36,88,.409,11,28,.393,14,15,.933,11,45,25,10,9,13,22,,33,88,.375,6,26,.231,20,25,.800,14,51,22,9,10,14,16,BOS
20,20,2016-12-03,@,PHI,W,107,106,38,76,.500,8,26,.308,23,29,.793,6,37,22,5,3,10,21,,35,76,.461,15,33,.455,21,26,.808,8,38,20,5,3,15,23,BOS
21,21,2016-12-05,@,HOU,L,106,107,42,99,.424,11,32,.344,11,12,.917,10,42,27,7,4,11,20,,34,76,.447,12,38,.316,27,31,.871,7,46,20,8,7,16,14,BOS
22,22,2016-12-07,@,ORL,W,117,87,43,84,.512,7,26,.269,24,29,.828,11,49,29,7,4,10,19,,30,81,.370,11,26,.423,16,24,.667,8,37,20,7,1,12,26,BOS
23,23,2016-12-09,,TOR,L,94,101,31,83,.373,17,42,.405,15,22,.682,8,46,24,5,4,13,18,,34,82,.415,9,20,.450,24,27,.889,8,50,12,9,2,11,22,BOS
24,24,2016-12-11,@,OKC,L,96,99,40,90,.444,11,32,.344,5,8,.625,12,40,28,9,4,13,22,,41,83,.494,3,21,.143,14,27,.519,15,49,17,9,7,12,9,BOS
25,25,2016-12-14,@,SAS,L,101,108,37,84,.440,10,31,.323,17,20,.850,8,35,25,12,3,12,13,,44,80,.550,8,22,.364,12,14,.857,5,38,33,9,3,16,17,BOS
26,26,2016-12-16,,CHO,W,96,88,34,78,.436,9,28,.321,19,26,.731,5,46,26,7,8,13,15,,32,97,.330,8,30,.267,16,19,.842,16,53,21,10,4,12,21,BOS
27,27,2016-12-18,@,MIA,W,105,95,41,90,.456,9,28,.321,14,19,.737,11,37,21,13,2,11,16,,36,69,.522,9,24,.375,14,25,.560,6,41,23,7,5,23,20,BOS
28,28,2016-12-20,@,MEM,W,112,109,33,81,.407,12,37,.324,34,38,.895,8,41,22,7,5,11,22,,38,94,.404,12,30,.400,21,26,.808,17,52,23,10,3,13,30,BOS
29,29,2016-12-22,@,IND,W,109,102,38,92,.413,10,39,.256,23,27,.852,9,44,19,10,2,10,27,,35,82,.427,7,23,.304,25,29,.862,8,50,20,5,3,19,21,BOS
30,30,2016-12-23,,OKC,L,112,117,41,93,.441,9,28,.321,21,26,.808,10,39,29,8,2,12,29,,41,80,.513,11,26,.423,24,36,.667,10,44,27,5,6,13,21,BOS
31,31,2016-12-25,@,NYK,W,119,114,45,93,.484,14,36,.389,15,20,.750,12,39,25,10,2,5,20,,41,87,.471,8,23,.348,24,27,.889,17,49,11,5,6,17,23,BOS
32,32,2016-12-27,,MEM,W,113,103,41,85,.482,12,31,.387,19,21,.905,14,47,30,6,7,17,24,,37,88,.420,9,30,.300,20,29,.690,13,37,22,14,5,11,18,BOS
33,33,2016-12-29,@,CLE,L,118,124,43,85,.506,12,37,.324,20,21,.952,6,29,26,15,4,11,23,,43,83,.518,14,38,.368,24,33,.727,13,46,29,7,3,18,16,BOS
34,34,2016-12-30,,MIA,W,117,114,38,74,.514,17,32,.531,24,29,.828,5,30,28,6,2,13,11,,48,90,.533,11,28,.393,7,10,.700,9,39,35,7,8,12,20,BOS
35,35,2017-01-03,,UTA,W,115,104,41,74,.554,17,31,.548,16,17,.941,4,32,31,5,6,13,22,,38,82,.463,11,26,.423,17,21,.810,8,35,27,7,3,10,17,BOS
36,36,2017-01-06,,PHI,W,110,106,35,87,.402,19,40,.475,21,25,.840,12,42,28,6,11,17,22,,37,79,.468,9,28,.321,23,26,.885,4,41,30,9,11,15,23,BOS
37,37,2017-01-07,,NOP,W,117,108,40,93,.430,18,36,.500,19,21,.905,15,47,26,6,5,10,22,,40,85,.471,10,31,.323,18,23,.783,9,42,22,7,7,11,20,BOS
38,38,2017-01-10,@,TOR,L,106,114,40,85,.471,9,27,.333,17,20,.850,6,33,21,7,3,14,20,,41,87,.471,10,22,.455,22,27,.815,17,50,17,9,7,17,21,BOS
39,39,2017-01-11,,WAS,W,117,108,43,85,.506,17,41,.415,14,18,.778,10,45,20,5,7,14,10,,45,105,.429,10,26,.385,8,12,.667,16,44,28,10,3,7,13,BOS
40,40,2017-01-13,@,ATL,W,103,101,36,83,.434,17,44,.386,14,19,.737,9,43,22,7,3,12,16,,36,84,.429,11,30,.367,18,21,.857,12,43,22,5,5,12,17,BOS
41,41,2017-01-16,,CHO,W,108,98,42,84,.500,15,39,.385,9,10,.900,8,44,29,6,3,12,11,,38,86,.442,8,25,.320,14,17,.824,10,42,25,4,4,11,15,BOS
42,42,2017-01-18,,NYK,L,106,117,35,91,.385,9,33,.273,27,29,.931,9,33,25,8,8,3,15,,46,91,.505,10,25,.400,15,18,.833,18,57,27,2,8,14,24,BOS
43,43,2017-01-21,,POR,L,123,127,42,92,.457,13,35,.371,26,31,.839,14,47,26,6,2,21,29,,43,92,.467,10,25,.400,31,36,.861,9,37,26,12,4,14,26,BOS
44,44,2017-01-24,@,WAS,L,108,123,38,84,.452,10,33,.303,22,24,.917,8,32,24,10,3,13,20,,48,84,.571,9,20,.450,18,21,.857,8,43,21,7,4,15,18,BOS
45,45,2017-01-25,,HOU,W,120,109,47,91,.516,11,32,.344,15,16,.938,12,48,33,10,3,18,27,,36,77,.468,10,31,.323,27,38,.711,6,30,28,8,5,17,18,BOS
